,ts_code,call_put,k,delist_date,date,trade_date,c,s,r
128,10002991.SH,C,3.7,20210324,20210120,20210120,0.1959,3.8,0.024929999999999997
129,10002992.SH,C,3.8,20210324,20210120,20210120,0.1414,3.8,0.024929999999999997
130,10002993.SH,C,3.9,20210324,20210120,20210120,0.1001,3.8,0.024929999999999997
131,10002994.SH,P,3.1,20210324,20210120,20210120,0.0052,3.8,0.024929999999999997
132,10002995.SH,P,3.2,20210324,20210120,20210120,0.0077,3.8,0.024929999999999997
133,10002996.SH,P,3.3,20210324,20210120,20210120,0.0124,3.8,0.024929999999999997
134,10002997.SH,P,3.4,20210324,20210120,20210120,0.0209,3.8,0.024929999999999997
135,10002998.SH,P,3.5,20210324,20210120,20210120,0.033,3.8,0.024929999999999997
136,10002999.SH,P,3.6,20210324,20210120,20210120,0.0553,3.8,0.024929999999999997
137,10003000.SH,P,3.7,20210324,20210120,20210120,0.0892,3.8,0.024929999999999997
138,10003001.SH,P,3.8,20210324,20210120,20210120,0.1334,3.8,0.024929999999999997
139,10003002.SH,P,3.9,20210324,20210120,20210120,0.192,3.8,0.024929999999999997
140,10003003.SH,C,3.1,20210623,20210120,20210120,0.7435,3.8,0.024929999999999997
141,10003004.SH,C,3.2,20210623,20210120,20210120,0.6549,3.8,0.024929999999999997
142,10003005.SH,C,3.3,20210623,20210120,20210120,0.5688,3.8,0.024929999999999997
143,10003006.SH,C,3.4,20210623,20210120,20210120,0.4891,3.8,0.024929999999999997
144,10003007.SH,C,3.5,20210623,20210120,20210120,0.4112,3.8,0.024929999999999997
145,10003008.SH,C,3.6,20210623,20210120,20210120,0.3456,3.8,0.024929999999999997
146,10003009.SH,C,3.7,20210623,20210120,20210120,0.2851,3.8,0.024929999999999997
147,10003010.SH,C,3.8,20210623,20210120,20210120,0.2349,3.8,0.024929999999999997
148,10003011.SH,C,3.9,20210623,20210120,20210120,0.1923,3.8,0.024929999999999997
149,10003012.SH,P,3.1,20210623,20210120,20210120,0.018,3.8,0.024929999999999997
150,10003013.SH,P,3.2,20210623,20210120,20210120,0.0271,3.8,0.024929999999999997
151,10003014.SH,P,3.3,20210623,20210120,20210120,0.04,3.8,0.024929999999999997
152,10003015.SH,P,3.4,20210623,20210120,20210120,0.0581,3.8,0.024929999999999997
153,10003016.SH,P,3.5,20210623,20210120,20210120,0.0826,3.8,0.024929999999999997
154,10003017.SH,P,3.6,20210623,20210120,20210120,0.1138,3.8,0.024929999999999997
155,10003018.SH,P,3.7,20210623,20210120,20210120,0.1532,3.8,0.024929999999999997
156,10003019.SH,P,3.8,20210623,20210120,20210120,0.2018,3.8,0.024929999999999997
157,10003020.SH,P,3.9,20210623,20210120,20210120,0.2563,3.8,0.024929999999999997
158,10003101.SH,C,4.2,20210127,20210120,20210120,0.0005,3.8,0.024929999999999997
159,10003102.SH,P,4.2,20210127,20210120,20210120,0.4021,3.8,0.024929999999999997
160,10003103.SH,C,4.2,20210224,20210120,20210120,0.0139,3.8,0.024929999999999997
161,10003104.SH,P,4.2,20210224,20210120,20210120,0.4042,3.8,0.024929999999999997
162,10003105.SH,C,4.2,20210324,20210120,20210120,0.035,3.8,0.024929999999999997
163,10003106.SH,P,4.2,20210324,20210120,20210120,0.4239,3.8,0.024929999999999997
164,10003107.SH,C,4.2,20210623,20210120,20210120,0.1001,3.8,0.024929999999999997
165,10003108.SH,P,4.2,20210623,20210120,20210120,0.462,3.8,0.024929999999999997
166,10002761.SH,C,2.859,20210324,20210120,20210120,0.9467,3.8,0.024929999999999997
167,10002762.SH,P,2.859,20210324,20210120,20210120,0.0026,3.8,0.024929999999999997
168,10003023.SH,C,4.0,20210127,20210120,20210120,0.0018,3.8,0.024929999999999997
169,10003024.SH,P,4.0,20210127,20210120,20210120,0.2015,3.8,0.024929999999999997
170,10003025.SH,C,4.0,20210324,20210120,20210120,0.0705,3.8,0.024929999999999997
171,10003026.SH,P,4.0,20210324,20210120,20210120,0.2621,3.8,0.024929999999999997
172,10003027.SH,C,4.0,20210623,20210120,20210120,0.155,3.8,0.024929999999999997
173,10003028.SH,P,4.0,20210623,20210120,20210120,0.3178,3.8,0.024929999999999997
